weather_fact_key,date_key,time_key,weather_key,temperature_2m,dewpoint_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,windspeed_10m
15640,20180328,400,10685,-0.5,-1.5,-3.2,0,0,0,0,2.2
15641,20190507,400,15236,2.6,-2.2,-1.5,0,0,0,0,11.6
15642,20170516,400,21834,11.8,10.3,10.3,0,0,0,0,11
15643,20170823,400,3347,10.3,7.7,8.3,0,0,0,0,9.8
15644,20191030,400,14054,2.1,0.4,-1.4,0,0,0,0,9.4
15645,20190506,400,3400,4.8,0.4,-0.1,0,0,0,0,19.2
15646,20190429,400,23403,8.1,6.1,4.6,1,1,0,0,16.9
15647,20190430,400,13231,9.2,7.9,6.8,0.8,0.8,0,0,12.2
15648,20170822,400,12543,10.7,7.8,8.9,0,0,0,0,8.3
15649,20170819,400,10553,21.1,15.9,20.7,0,0,0,0,16.9
15650,20180614,400,5372,14.2,9.7,10.9,0,0,0,0,22.1
15651,20190501,400,11450,8.4,2.2,3.8,0,0,0,0,19.2
15652,20170119,400,7939,-12.8,-15.5,-18,0,0,0,0.06,10.9
15653,20170502,400,7213,8.9,7,7.4,0.2,0.2,0,0,4.9
15654,20190505,400,1537,3.5,1.5,-1.3,0.2,0.2,0,0,20.1
15655,20170821,400,9593,14.5,7.7,12.6,0,0,0,0,8.9
15656,20180615,400,10696,13.7,10,11.6,0,0,0,0,14.6
15657,20190504,400,24054,4.8,2.2,2.5,0,0,0,0,3.7
